"","V1"
"inaug_JamesMonroe_1_3",2
"inaug_JamesMonroe_1_4",2
"inaug_JamesMonroe_1_5",2
"inaug_JamesMonroe_1_6",2
"inaug_JamesMonroe_1_7",2
"inaug_JamesMonroe_1_8",2
"inaug_JamesMonroe_1_9",4
"inaug_JamesMonroe_1_10",4
"inaug_JamesMonroe_1_11",4
"inaug_JamesMonroe_1_12",4
"inaug_JamesMonroe_1_13",4
"inaug_JamesMonroe_1_14",4
"inaug_JamesMonroe_1_15",4
"inaug_JamesMonroe_1_16",4
"inaug_JamesMonroe_1_17",4
"inaug_JamesMonroe_1_18",4
"inaug_JamesMonroe_1_19",4
"inaug_JamesMonroe_1_20",4
"inaug_JamesMonroe_1_21",4
"inaug_JamesMonroe_1_22",12
"inaug_JamesMonroe_1_23",2
"inaug_JamesMonroe_1_24",2
"inaug_JamesMonroe_1_25",2
"inaug_JamesMonroe_1_26",4
"inaug_JamesMonroe_1_27",4
"inaug_JamesMonroe_1_28",4
"inaug_JamesMonroe_1_29",2
"inaug_JamesMonroe_1_30",2
"inaug_JamesMonroe_1_31",2
"inaug_JamesMonroe_1_32",2
"inaug_JamesMonroe_1_33",4
"inaug_JamesMonroe_1_34",4
"inaug_JamesMonroe_1_35",4
"inaug_JamesMonroe_1_36",4
"inaug_JamesMonroe_1_37",4
"inaug_JamesMonroe_1_38",2
"inaug_JamesMonroe_1_39",4
"inaug_JamesMonroe_1_40",4
"inaug_JamesMonroe_1_41",4
"inaug_JamesMonroe_1_42",1
"inaug_JamesMonroe_1_43",4
"inaug_JamesMonroe_1_44",1
"inaug_JamesMonroe_1_45",1
"inaug_JamesMonroe_1_46",1
"inaug_JamesMonroe_1_47",1
"inaug_JamesMonroe_1_48",2
"inaug_JamesMonroe_1_49",2
"inaug_JamesMonroe_1_50",2
"inaug_JamesMonroe_1_51",4
"inaug_JamesMonroe_1_52",4
"inaug_JamesMonroe_1_53",4
"inaug_JamesMonroe_1_54",2
"inaug_JamesMonroe_1_55",2
"inaug_JamesMonroe_1_56",2
"inaug_JamesMonroe_1_57",2
"inaug_JamesMonroe_1_58",3
"inaug_JamesMonroe_1_59",4
"inaug_JamesMonroe_1_60",4
"inaug_JamesMonroe_1_61",4
"inaug_JamesMonroe_1_62",2
"inaug_JamesMonroe_1_63",9
"inaug_JamesMonroe_1_64",2
"inaug_JamesMonroe_1_65",4
"inaug_JamesMonroe_1_66",2
"inaug_JamesMonroe_1_67",2
"inaug_JamesMonroe_1_68",11
"inaug_JamesMonroe_1_69",2
"inaug_JamesMonroe_1_70",4
"inaug_JamesMonroe_1_71",9
"inaug_JamesMonroe_1_72",9
"inaug_JamesMonroe_1_73",9
"inaug_JamesMonroe_1_74",11
"inaug_JamesMonroe_1_75",11
"inaug_JamesMonroe_1_76",11
"inaug_JamesMonroe_1_77",11
"inaug_JamesMonroe_1_78",11
"inaug_JamesMonroe_1_79",2
"inaug_JamesMonroe_1_80",11
"inaug_JamesMonroe_1_81",2
"inaug_JamesMonroe_1_82",11
"inaug_JamesMonroe_1_83",5
"inaug_JamesMonroe_1_84",4
"inaug_JamesMonroe_1_85",2
"inaug_JamesMonroe_1_86",13
"inaug_JamesMonroe_1_87",11
"inaug_JamesMonroe_1_88",11
"inaug_JamesMonroe_1_89",2
"inaug_JamesMonroe_1_90",2
"inaug_JamesMonroe_1_91",2
"inaug_JamesMonroe_1_92",4
"inaug_JamesMonroe_1_93",4
"inaug_JamesMonroe_1_94",4
"inaug_JamesMonroe_1_95",1
"inaug_JamesMonroe_1_96",1
"inaug_JamesMonroe_1_97",1
"inaug_JamesMonroe_1_98",1
"inaug_JamesMonroe_1_99",1
"inaug_JamesMonroe_1_100",9
"inaug_JamesMonroe_1_101",1
"inaug_JamesMonroe_1_102",1
"inaug_JamesMonroe_1_103",1
"inaug_JamesMonroe_1_104",1
"inaug_JamesMonroe_1_105",5
"inaug_JamesMonroe_1_106",5
"inaug_JamesMonroe_1_107",2
"inaug_JamesMonroe_1_108",1
"inaug_JamesMonroe_1_109",1
"inaug_JamesMonroe_1_110",1
"inaug_JamesMonroe_1_111",3
"inaug_JamesMonroe_1_112",2
"inaug_JamesMonroe_1_113",5
"inaug_JamesMonroe_1_114",2
"inaug_JamesMonroe_1_115",2
"inaug_JamesMonroe_1_116",2
"inaug_JamesMonroe_1_117",2
"inaug_JamesMonroe_1_118",4
"inaug_JamesMonroe_1_119",4
"inaug_JamesMonroe_1_120",2
"inaug_JamesMonroe_1_121",4
"inaug_JamesMonroe_1_122",2
"inaug_JamesMonroe_1_123",4
"inaug_JamesMonroe_1_124",2
"inaug_JamesMonroe_1_125",4
"inaug_JamesMonroe_1_126",4
"inaug_JamesMonroe_1_127",2
"inaug_JamesMonroe_1_128",9
"inaug_JamesMonroe_1_129",2
"inaug_JamesMonroe_1_130",2
"inaug_JamesMonroe_1_131",2
"inaug_JamesMonroe_1_132",2
"inaug_JamesMonroe_1_133",2
"inaug_JamesMonroe_1_134",2
"inaug_JamesMonroe_1_135",2
"inaug_JamesMonroe_2_2",2
"inaug_JamesMonroe_2_3",2
"inaug_JamesMonroe_2_4",2
"inaug_JamesMonroe_2_5",2
"inaug_JamesMonroe_2_6",2
"inaug_JamesMonroe_2_7",2
"inaug_JamesMonroe_2_8",2
"inaug_JamesMonroe_2_9",12
"inaug_JamesMonroe_2_10",12
"inaug_JamesMonroe_2_11",12
"inaug_JamesMonroe_2_12",5
"inaug_JamesMonroe_2_13",9
"inaug_JamesMonroe_2_14",5
"inaug_JamesMonroe_2_15",4
"inaug_JamesMonroe_2_16",2
"inaug_JamesMonroe_2_17",4
"inaug_JamesMonroe_2_18",1
"inaug_JamesMonroe_2_19",11
"inaug_JamesMonroe_2_20",1
"inaug_JamesMonroe_2_21",5
"inaug_JamesMonroe_2_22",5
"inaug_JamesMonroe_2_23",5
"inaug_JamesMonroe_2_24",11
"inaug_JamesMonroe_2_25",11
"inaug_JamesMonroe_2_26",11
"inaug_JamesMonroe_2_27",11
"inaug_JamesMonroe_2_28",11
"inaug_JamesMonroe_2_29",11
"inaug_JamesMonroe_2_30",11
"inaug_JamesMonroe_2_31",2
"inaug_JamesMonroe_2_32",4
"inaug_JamesMonroe_2_33",2
"inaug_JamesMonroe_2_34",2
"inaug_JamesMonroe_2_35",2
"inaug_JamesMonroe_2_36",2
"inaug_JamesMonroe_2_37",4
"inaug_JamesMonroe_2_38",1
"inaug_JamesMonroe_2_39",1
"inaug_JamesMonroe_2_40",11
"inaug_JamesMonroe_2_41",4
"inaug_JamesMonroe_2_42",11
"inaug_JamesMonroe_2_43",11
"inaug_JamesMonroe_2_44",12
"inaug_JamesMonroe_2_45",12
"inaug_JamesMonroe_2_46",12
"inaug_JamesMonroe_2_47",5
"inaug_JamesMonroe_2_48",5
"inaug_JamesMonroe_2_49",1
"inaug_JamesMonroe_2_50",1
"inaug_JamesMonroe_2_51",4
"inaug_JamesMonroe_2_52",4
"inaug_JamesMonroe_2_53",4
"inaug_JamesMonroe_2_54",4
"inaug_JamesMonroe_2_55",4
"inaug_JamesMonroe_2_56",4
"inaug_JamesMonroe_2_57",4
"inaug_JamesMonroe_2_58",12
"inaug_JamesMonroe_2_59",5
"inaug_JamesMonroe_2_60",5
"inaug_JamesMonroe_2_61",5
"inaug_JamesMonroe_2_62",5
"inaug_JamesMonroe_2_63",5
"inaug_JamesMonroe_2_64",5
"inaug_JamesMonroe_2_65",4
"inaug_JamesMonroe_2_66",4
"inaug_JamesMonroe_2_67",4
"inaug_JamesMonroe_2_68",4
"inaug_JamesMonroe_2_69",4
"inaug_JamesMonroe_2_70",4
"inaug_JamesMonroe_2_71",1
"inaug_JamesMonroe_2_72",4
"inaug_JamesMonroe_2_73",4
"inaug_JamesMonroe_2_74",4
"inaug_JamesMonroe_2_75",4
"inaug_JamesMonroe_2_76",4
"inaug_JamesMonroe_2_77",4
"inaug_JamesMonroe_2_78",11
"inaug_JamesMonroe_2_79",5
"inaug_JamesMonroe_2_80",4
"inaug_JamesMonroe_2_81",1
"inaug_JamesMonroe_2_82",1
"inaug_JamesMonroe_2_83",2
"inaug_JamesMonroe_2_84",2
"inaug_JamesMonroe_2_85",2
"inaug_JamesMonroe_2_86",1
"inaug_JamesMonroe_2_87",1
"inaug_JamesMonroe_2_88",2
"inaug_JamesMonroe_2_89",2
"inaug_JamesMonroe_2_90",2
"inaug_JamesMonroe_2_91",2
"inaug_JamesMonroe_2_92",2
